participant_id,age,gender,grade,art_experience,emotion_label,well_being_score,engagement_score,stress_level,creativity_score,hours_art_weekly,preferred_art_medium,session_duration_minutes
0137,16,F,10,High,Happiness,2.4,4.1,4.3,4.0,8.0,Watercolor,97
0138,15,M,9,Medium,Anxiety,3.5,1.3,4.5,3.9,8.7,Watercolor,56
0139,18,F,12,High,Calm,4.6,1.1,2.6,1.9,1.9,Pencil,68
0140,16,F,10,High,Sadness,3.5,4.7,1.0,2.6,5.3,Digital,103
0141,15,F,11,Low,Excitement,4.1,2.3,3.1,5.0,8.9,Pencil,54
0142,16,M,10,Low,Happiness,4.5,2.6,4.5,2.6,5.0,Digital,91
0143,14,M,10,Medium,Sadness,4.9,3.3,1.7,1.2,4.6,Digital,99
0144,15,M,9,Low,Excitement,2.3,4.9,1.7,2.1,6.5,Mixed,97
0145,14,M,10,Low,Frustration,4.3,3.1,2.6,4.0,6.5,Mixed,92
0146,16,M,10,Low,Excitement,2.9,2.9,4.7,4.0,1.3,Pencil,62
0147,16,M,11,High,Sadness,3.0,4.8,4.8,4.0,2.7,Pencil,71
0148,16,F,12,High,Calm,2.5,3.6,2.7,3.1,0.8,Digital,62
0149,18,F,10,Medium,Frustration,2.8,2.9,1.6,4.1,6.6,Digital,80
0150,14,M,9,Low,Happiness,3.4,3.1,3.2,1.2,0.7,Mixed,41
0151,15,M,11,Medium,Frustration,2.4,1.2,1.6,2.0,6.0,Digital,30
0152,16,M,12,High,Excitement,4.8,4.0,4.4,4.8,8.3,Mixed,44
0153,18,M,11,Low,Anxiety,3.9,1.7,2.7,4.1,9.4,Mixed,81
0154,17,M,10,High,Happiness,4.4,4.6,4.2,3.1,9.8,Watercolor,32
0155,16,M,12,Medium,Excitement,2.3,3.5,3.7,3.2,8.2,Watercolor,73
0156,18,M,11,Medium,Sadness,1.6,2.2,3.6,3.6,7.7,Mixed,71
0157,14,M,9,Low,Calm,3.9,1.4,2.2,1.3,2.2,Watercolor,92
0158,16,M,9,High,Excitement,3.7,4.9,4.5,4.6,4.3,Mixed,49
0159,16,F,12,High,Happiness,2.4,3.8,4.9,4.6,7.5,Watercolor,76
0160,14,M,10,High,Happiness,4.8,1.7,4.5,1.6,8.3,Pencil,95
0161,16,M,11,Medium,Sadness,1.8,3.1,1.0,3.6,1.2,Watercolor,76
0162,17,M,11,High,Excitement,1.0,3.6,5.0,4.2,7.8,Watercolor,99
0163,18,M,10,High,Happiness,3.0,2.9,4.4,2.2,1.2,Watercolor,112
0164,16,F,10,Low,Excitement,1.8,2.4,2.7,1.7,6.8,Digital,105
0165,15,F,10,Medium,Calm,5.0,2.5,3.9,4.8,5.4,Mixed,107
0166,16,F,12,Medium,Anxiety,3.7,4.5,5.0,1.0,8.7,Watercolor,48
0167,17,M,10,Low,Frustration,2.4,2.4,4.1,3.6,0.6,Digital,49
0168,17,M,9,Medium,Sadness,1.3,3.0,1.6,1.4,7.1,Digital,33
0169,17,M,9,High,Anxiety,5.0,1.3,2.3,2.7,3.1,Digital,72
0170,17,F,9,High,Frustration,2.0,4.8,2.2,1.3,6.1,Mixed,112
0171,16,F,10,High,Calm,3.0,1.0,1.3,1.7,1.3,Watercolor,92
0172,14,F,11,Low,Happiness,2.9,2.5,1.8,4.8,9.5,Digital,60
0173,17,M,9,Low,Frustration,1.5,3.8,2.8,3.9,9.1,Mixed,106
0174,17,F,12,Medium,Sadness,1.7,1.1,2.2,3.0,3.0,Watercolor,69
0175,16,M,9,Low,Happiness,4.8,2.4,3.4,1.7,9.0,Digital,73
0176,14,F,11,Medium,Sadness,4.0,2.9,1.8,4.0,5.3,Mixed,87
0177,14,M,9,Medium,Happiness,3.6,4.6,1.9,1.5,6.7,Mixed,74
0178,15,F,11,Low,Happiness,4.6,3.7,4.1,3.0,8.5,Watercolor,65
0179,17,M,9,Medium,Happiness,3.6,1.0,2.9,4.5,2.6,Watercolor,85
0180,17,F,12,High,Calm,2.9,3.8,1.2,2.3,4.6,Pencil,117
0181,17,F,9,Medium,Excitement,3.1,4.3,3.4,3.2,8.8,Watercolor,61
0182,14,F,9,Medium,Sadness,3.9,4.4,3.8,2.1,6.9,Mixed,60
0183,16,M,10,High,Sadness,3.0,4.4,1.3,2.4,3.8,Pencil,48
0184,16,M,9,Low,Excitement,1.3,1.4,4.7,3.3,7.1,Mixed,94
0185,15,F,10,High,Calm,2.9,3.5,2.0,3.3,3.9,Watercolor,93
0186,16,F,9,Medium,Excitement,2.5,2.3,1.2,3.8,2.2,Pencil,62
0187,17,M,11,High,Excitement,2.7,4.0,4.3,1.3,9.3,Digital,109
0188,18,M,11,Low,Calm,2.4,4.3,2.2,4.7,3.8,Mixed,34
0189,16,M,9,Low,Frustration,4.4,2.3,1.8,1.3,4.9,Digital,65
0190,14,F,10,High,Anxiety,4.1,2.1,2.6,3.6,1.5,Pencil,76
0191,16,M,11,Medium,Frustration,3.2,3.0,3.8,3.8,0.8,Pencil,91
0192,18,M,9,Medium,Sadness,4.4,4.4,3.2,2.0,1.9,Watercolor,64
0193,16,F,10,High,Calm,1.2,4.8,2.3,3.5,1.0,Watercolor,30
0194,17,M,9,High,Frustration,4.8,2.3,4.9,2.5,6.6,Pencil,100
0195,15,M,11,Low,Anxiety,2.9,1.9,1.1,3.8,7.5,Mixed,61
0196,15,F,11,Medium,Excitement,3.9,4.8,4.3,1.5,10.0,Watercolor,61
0197,17,F,11,High,Happiness,3.1,3.0,4.5,3.3,0.0,Pencil,58
0198,15,M,10,Medium,Anxiety,3.9,3.7,1.1,1.4,0.7,Digital,63
0199,17,F,10,Low,Frustration,4.2,1.8,2.6,4.1,8.1,Pencil,35
0200,18,M,10,High,Anxiety,1.2,4.3,4.4,1.5,1.4,Digital,109
0201,14,F,12,High,Excitement,2.4,2.9,4.6,5.0,0.7,Mixed,58
0202,18,F,11,Medium,Anxiety,3.6,3.8,2.6,4.0,7.8,Watercolor,63
0203,18,F,9,Low,Sadness,1.9,3.1,3.7,2.7,3.5,Pencil,61
0204,17,F,9,High,Sadness,1.9,1.4,1.2,3.3,2.3,Pencil,116
0205,15,M,9,High,Calm,2.2,1.6,4.2,3.8,0.5,Pencil,115
0206,18,F,9,High,Frustration,1.7,1.8,4.5,2.5,3.1,Pencil,113
0207,18,M,12,Medium,Calm,2.5,3.7,3.0,2.9,7.6,Digital,111
0208,18,M,11,Low,Calm,2.1,1.1,1.2,2.9,0.3,Pencil,81
0209,17,F,11,High,Frustration,2.6,4.6,4.5,3.0,1.4,Mixed,94
0210,14,F,11,High,Sadness,1.2,2.7,2.0,3.4,4.7,Watercolor,93
0211,16,M,9,Low,Calm,3.1,1.8,4.7,3.0,4.2,Pencil,50
0212,17,M,10,High,Frustration,3.7,1.1,1.1,4.9,9.3,Digital,67
0213,16,M,9,Low,Anxiety,3.0,2.9,3.7,2.4,7.0,Pencil,49
0214,18,M,11,High,Sadness,3.3,2.3,3.8,3.9,8.6,Digital,72
0215,14,F,10,Medium,Anxiety,1.1,3.1,4.9,3.0,0.7,Pencil,79
0216,15,F,12,Low,Sadness,4.3,4.8,3.5,2.7,2.7,Watercolor,75
0217,16,F,12,High,Excitement,4.7,4.9,4.9,5.0,4.9,Watercolor,43
0218,17,M,10,Medium,Calm,1.7,2.7,4.4,2.9,5.2,Mixed,36
0219,18,F,12,High,Excitement,1.6,4.0,2.0,3.8,9.5,Watercolor,97
0220,16,F,9,Low,Happiness,3.7,3.1,3.0,2.5,0.2,Mixed,43
0221,14,F,10,High,Anxiety,4.5,1.6,4.6,4.8,3.9,Digital,106
0222,14,M,11,Low,Calm,2.0,3.0,3.6,3.2,7.6,Mixed,119
0223,18,M,11,Medium,Anxiety,3.0,1.5,3.9,4.8,0.7,Pencil,101
0224,16,M,11,High,Anxiety,2.6,4.8,3.7,1.2,8.7,Pencil,34
0225,16,F,9,Low,Happiness,1.5,2.2,2.6,2.1,2.6,Digital,56
0226,14,M,9,Medium,Frustration,4.1,1.0,2.3,2.5,4.0,Digital,59
0227,16,M,12,High,Excitement,3.7,1.6,2.3,3.8,3.4,Mixed,68
0228,14,F,11,Medium,Calm,4.0,3.8,2.2,1.5,1.7,Digital,35
0229,17,M,12,Medium,Happiness,2.9,4.7,3.4,1.3,8.9,Digital,103
0230,14,F,12,High,Excitement,4.9,3.1,4.5,4.6,8.9,Pencil,77
0231,18,F,12,Low,Frustration,2.4,3.1,4.5,4.5,8.9,Mixed,101
0232,15,M,9,Low,Calm,3.9,3.8,4.2,1.7,2.5,Watercolor,101
0233,17,F,9,Low,Sadness,4.2,3.3,4.2,4.9,4.3,Watercolor,61
0234,15,F,10,Medium,Frustration,4.2,2.9,1.1,4.6,4.6,Watercolor,54
0235,14,F,12,Medium,Excitement,4.9,4.8,1.3,2.3,5.5,Digital,117
0236,16,F,11,High,Sadness,2.9,2.8,1.1,4.1,6.8,Watercolor,114
0237,16,F,10,High,Calm,3.7,4.6,4.7,3.5,1.6,Mixed,116
0238,17,M,10,Medium,Excitement,4.3,1.3,3.5,1.2,4.9,Pencil,78
0239,18,M,10,High,Calm,1.5,3.8,4.0,4.1,8.8,Watercolor,46
0240,17,M,11,Medium,Calm,3.1,1.5,3.9,4.9,2.8,Watercolor,33
0241,16,M,12,Low,Calm,1.3,3.2,2.3,2.8,7.2,Digital,117
0242,18,M,10,Low,Frustration,5.0,4.9,4.2,3.2,9.7,Digital,83
0243,16,F,12,High,Calm,4.9,4.6,3.8,4.4,0.4,Digital,31
0244,16,M,10,Medium,Happiness,1.8,1.9,4.7,1.1,9.3,Mixed,65
0245,16,M,12,High,Anxiety,2.8,1.3,3.6,2.9,4.9,Watercolor,113
0246,14,M,9,Low,Happiness,4.0,3.6,3.4,2.0,9.0,Digital,118
0247,18,M,12,Medium,Frustration,3.2,2.9,3.7,1.3,6.8,Watercolor,90
0248,16,M,11,Medium,Frustration,2.8,3.1,2.4,2.7,6.2,Digital,48
0249,14,F,12,Medium,Sadness,3.1,3.4,1.2,4.1,2.3,Watercolor,53
0250,15,F,10,Medium,Frustration,3.6,1.1,3.3,3.9,5.0,Mixed,70
0251,14,F,10,Low,Excitement,3.4,3.6,1.1,4.2,8.9,Pencil,55
0252,14,M,9,High,Calm,1.4,4.2,1.8,4.9,3.3,Digital,50
0253,17,F,10,High,Anxiety,4.7,2.7,1.4,1.5,7.7,Watercolor,82
0254,14,F,12,Medium,Calm,2.8,1.3,3.0,4.2,0.5,Watercolor,83
0255,16,M,10,High,Calm,3.7,3.8,3.2,4.2,1.8,Watercolor,76
0256,15,F,9,Low,Anxiety,3.4,4.3,4.8,3.6,4.4,Watercolor,111
0257,17,F,12,High,Frustration,4.7,3.5,2.9,1.4,8.5,Digital,35
0258,15,M,12,Low,Calm,4.1,1.7,3.6,4.2,5.9,Mixed,44
0259,17,M,10,High,Happiness,2.2,1.8,2.6,4.8,4.3,Mixed,69
0260,16,M,12,Low,Calm,2.8,3.0,3.7,2.5,8.5,Watercolor,77
0261,15,M,9,Medium,Anxiety,3.8,1.5,1.5,3.2,5.3,Watercolor,41
0262,15,M,10,High,Anxiety,4.0,1.3,1.5,1.4,8.5,Digital,80
0263,15,F,11,High,Frustration,3.2,1.9,3.8,1.1,2.6,Digital,78
0264,17,F,12,Low,Excitement,4.7,2.4,1.6,4.7,9.8,Mixed,104
0265,18,M,10,High,Sadness,3.2,2.7,4.9,2.8,2.9,Pencil,81
0266,14,M,12,Low,Excitement,3.3,4.0,3.8,2.1,3.1,Watercolor,35
0267,18,M,10,Low,Happiness,4.6,4.5,4.8,4.0,6.2,Digital,81
0268,15,M,12,Low,Sadness,2.5,2.1,2.6,2.1,7.1,Pencil,104
0269,18,F,11,Medium,Sadness,3.8,4.6,3.9,1.8,6.7,Pencil,34
0270,15,F,10,Medium,Excitement,2.5,4.7,4.9,1.2,5.6,Digital,100
0271,14,F,10,Low,Happiness,1.0,4.2,3.0,3.6,6.5,Pencil,107
0272,14,F,10,Low,Frustration,2.1,4.6,2.8,2.9,2.3,Watercolor,112
0273,15,M,12,Low,Calm,2.6,2.0,1.0,1.4,3.4,Pencil,91
0274,15,M,9,Medium,Excitement,4.6,3.5,4.8,2.6,9.2,Watercolor,119
0275,15,M,12,High,Frustration,2.4,4.1,4.6,4.2,0.3,Watercolor,75
0276,16,F,10,High,Excitement,4.5,4.7,1.5,4.1,1.4,Digital,77
0277,14,F,11,Low,Frustration,1.1,5.0,4.1,3.3,6.4,Digital,60
0278,16,F,9,Low,Anxiety,4.1,2.3,3.4,5.0,4.4,Watercolor,108
0279,18,F,10,High,Sadness,4.1,3.5,2.4,2.0,5.7,Pencil,61
0280,18,F,9,Low,Calm,4.0,4.9,3.3,4.5,2.1,Mixed,93
0281,16,F,10,High,Sadness,4.1,4.8,2.4,1.2,4.5,Mixed,107
0282,14,M,11,Low,Frustration,2.2,1.7,1.3,3.9,3.7,Digital,93
0283,17,F,10,Low,Calm,4.5,2.1,3.2,4.7,4.3,Pencil,50
0284,16,M,9,Medium,Frustration,4.5,1.3,4.7,3.9,9.0,Watercolor,45
0285,18,F,12,Low,Excitement,2.3,1.1,2.2,4.6,0.6,Watercolor,106
0286,17,F,9,High,Happiness,2.4,3.9,2.4,3.0,9.4,Pencil,42
0287,17,M,12,High,Anxiety,1.4,3.3,2.7,3.9,2.7,Digital,45
0288,17,F,12,Low,Calm,3.8,4.3,4.3,3.3,2.2,Pencil,61
0289,15,M,9,Low,Anxiety,3.4,3.6,2.5,3.4,7.8,Digital,113
0290,18,M,12,Low,Excitement,1.4,2.1,3.4,2.5,9.9,Digital,54
0291,16,F,9,Medium,Sadness,2.8,1.2,4.8,1.8,3.0,Pencil,56
0292,18,M,9,Low,Frustration,2.5,2.7,4.9,1.3,6.6,Pencil,103
0293,14,M,9,Low,Frustration,3.9,4.8,3.1,4.6,2.8,Mixed,63
0294,15,F,10,Medium,Calm,4.1,1.7,4.2,2.1,0.9,Watercolor,68
0295,15,M,12,Low,Calm,2.3,3.5,4.0,4.1,2.8,Pencil,91
0296,15,M,9,Low,Sadness,2.2,3.3,3.0,3.6,7.6,Mixed,57
0297,17,M,11,Medium,Calm,1.5,1.9,3.2,1.2,1.5,Watercolor,59
0298,17,F,11,Low,Calm,2.8,4.7,1.1,3.1,9.5,Digital,43
0299,16,F,11,Medium,Calm,4.6,2.9,4.6,2.4,4.7,Pencil,81
0300,18,F,9,Medium,Happiness,3.4,4.1,2.4,1.7,9.7,Digital,48
0301,14,F,12,Low,Sadness,2.9,4.8,1.9,4.2,9.8,Digital,75
0302,17,M,12,Medium,Frustration,3.2,5.0,4.7,5.0,6.7,Watercolor,110
0303,18,M,12,Medium,Anxiety,2.3,4.0,2.5,1.9,5.3,Mixed,69
0304,15,M,10,Low,Frustration,5.0,2.3,1.3,4.6,8.5,Pencil,110
0305,14,M,10,Medium,Sadness,1.7,4.9,4.4,2.5,3.5,Pencil,100
0306,15,M,12,Low,Happiness,1.8,3.4,3.2,4.5,7.5,Mixed,46
0307,16,F,11,High,Calm,4.0,4.2,1.8,4.3,1.3,Pencil,101
0308,14,M,10,Low,Anxiety,4.8,2.6,3.9,4.9,6.6,Digital,80
0309,15,F,10,Low,Excitement,4.6,1.2,4.7,1.6,2.6,Mixed,105
0310,16,M,11,Low,Sadness,1.6,4.6,4.0,4.7,4.3,Watercolor,109
0311,18,M,12,Medium,Sadness,4.0,3.6,1.0,3.2,7.3,Watercolor,108
0312,17,F,9,Medium,Calm,4.6,2.0,2.8,1.9,0.3,Watercolor,93
0313,17,F,9,Low,Happiness,3.5,4.5,1.3,4.7,8.1,Mixed,64
0314,18,M,12,Low,Sadness,2.7,2.6,1.5,3.5,6.0,Pencil,98
